ID_df1,PARENT_ID_df1,URI_df1,FILE_PATH_df1,NAME,METHOD_df1,STATUS_df1,SIZE_df1,TYPE_df1,EXT_df1,LAST_MODIFIED_df1,EXTENSION_MISMATCH_df1,HASH_df1,FORMAT_COUNT_df1,PUID_df1,MIME_TYPE_df1,FORMAT_NAME_df1,FORMAT_VERSION_df1,ID_df2,PARENT_ID_df2,URI_df2,FILE_PATH_df2,METHOD_df2,STATUS_df2,SIZE_df2,TYPE_df2,EXT_df2,LAST_MODIFIED_df2,EXTENSION_MISMATCH_df2,HASH_df2,FORMAT_COUNT_df2,PUID_df2,MIME_TYPE_df2,FORMAT_NAME_df2,FORMAT_VERSION_df2
1981,1980.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/andi/6a_2006-05-12.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/andi/6a_2006-05-12.pdf,6a_2006-05-12.pdf,Signature,Done,201604.0,File,pdf,2006-05-16T16:00:42,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3,366,355.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/060512_Plaene/6a_2006-05-12.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060512_Plaene/6a_2006-05-12.pdf,Signature,Done,247872.0,File,pdf,2006-05-12T15:05:00,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3
2144,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-02-05.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-02-05.pdf,6a_2006-02-05.pdf,Signature,Done,205514.0,File,pdf,2006-05-02T12:53:34,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3,399,329.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/6a_2006-02-05.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/6a_2006-02-05.pdf,Signature,Done,205514.0,File,pdf,2006-05-03T09:14:00,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3
2148,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-02-05.dxf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-02-05.dxf,6a_2006-02-05.dxf,Signature,Done,22608243.0,File,dxf,2006-05-02T12:52:29,False,,1.0,fmt/78,image/vnd.dxf,Drawing Interchange File Format (ASCII),2000-2002,398,329.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/6a_2006-02-05.dxf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/6a_2006-02-05.dxf,Signature,Done,22608243.0,File,dxf,2006-05-02T12:52:30,False,,1.0,fmt/78,image/vnd.dxf,Drawing Interchange File Format (ASCII),2000-2002
2151,2149.0,zip:file:///home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-02-05.zip!/6a_2006-02-05.dxf,zip:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-02-05.zip!/6a_2006-02-05.dxf,6a_2006-02-05.dxf,Signature,Done,22608243.0,File,dxf,2006-05-02T14:52:30,False,,1.0,fmt/78,image/vnd.dxf,Drawing Interchange File Format (ASCII),2000-2002,398,329.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/6a_2006-02-05.dxf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/6a_2006-02-05.dxf,Signature,Done,22608243.0,File,dxf,2006-05-02T12:52:30,False,,1.0,fmt/78,image/vnd.dxf,Drawing Interchange File Format (ASCII),2000-2002
2154,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-05-12.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-05-12.pdf,6a_2006-05-12.pdf,Signature,Done,247872.0,File,pdf,2006-05-12T12:13:17,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3,366,355.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/060512_Plaene/6a_2006-05-12.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060512_Plaene/6a_2006-05-12.pdf,Signature,Done,247872.0,File,pdf,2006-05-12T15:05:00,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3
2155,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-06-27_varA.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-06-27_varA.pdf,6a_2006-06-27_varA.pdf,Signature,Done,263952.0,File,pdf,2006-06-27T15:41:06,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3,379,375.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/060627_Plaene/6a_2006-06-27_varA.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060627_Plaene/6a_2006-06-27_varA.pdf,Signature,Done,263952.0,File,pdf,2006-06-28T08:43:00,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3
2157,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-06-27_varB.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-06-27_varB.pdf,6a_2006-06-27_varB.pdf,Signature,Done,262970.0,File,pdf,2006-06-27T15:41:57,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3,392,375.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/060627_Plaene/6a_2006-06-27_varB.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060627_Plaene/6a_2006-06-27_varB.pdf,Signature,Done,262970.0,File,pdf,2006-06-28T08:43:00,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3
2163,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_osw_2006-06-09.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_osw_2006-06-09.pdf,6a_osw_2006-06-09.pdf,Signature,Done,200432.0,File,pdf,2006-06-09T12:12:34,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3,371,369.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/060612_Plaene/6a_osw_2006-06-09.pdf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060612_Plaene/6a_osw_2006-06-09.pdf,Signature,Done,200432.0,File,pdf,2006-06-12T14:57:00,False,,1.0,fmt/17,application/pdf,Acrobat PDF 1.3 - Portable Document Format,1.3
2165,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-05-12.zip,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-05-12.zip,6a_2006-05-12.zip,Signature,Done,1372379.0,Container,zip,2006-05-12T12:17:42,False,,1.0,x-fmt/263,application/zip,ZIP Format,,376,355.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth%26Deplazes/060512_Plaene/6a_2006-05-12.zip,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060512_Plaene/6a_2006-05-12.zip,Signature,Done,1372379.0,Container,zip,2006-05-12T15:05:00,False,,1.0,x-fmt/263,application/zip,ZIP Format,
2166,2139.0,file:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-06-27_varA.dxf,/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/P_156_2005_Flaesch_Neubau-Erweiterung-Weingut-Gantenbein/CAD/WP_DEF/temp/sichtmauerwerk/Ausgang/6a_2006-06-27_varA.dxf,6a_2006-06-27_varA.dxf,Signature,Done,36889202.0,File,dxf,2006-06-27T15:40:30,False,,1.0,fmt/78,image/vnd.dxf,Drawing Interchange File Format (ASCII),2000-2002,393,390.0,zip:file:///home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060627_Plaene/6a_2006-06-27_varA.zip!/6a_2006-06-27_varA.dxf,zip:/home/jovyan/work/dca-digitalmaterialcopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/02_Vorlagen_Bearth&Deplazes/060627_Plaene/6a_2006-06-27_varA.zip!/6a_2006-06-27_varA.dxf,Signature,Done,36889202.0,File,dxf,2006-06-27T17:40:32,False,,1.0,fmt/78,image/vnd.dxf,Drawing Interchange File Format (ASCII),2000-2002
